symbol,tv_symbol,name,sector_for
NIFTY50,NSE:NIFTY,Nifty 50,MARKET
BANKNIFTY,NSE:BANKNIFTY,Bank Nifty,BANKS
FINNIFTY,NSE:FINNIFTY,Fin Nifty,NBFC
MIDCPNIFTY,NSE:MIDCPNIFTY,Midcap Nifty,MIDCAP
CNXIT,NSE:CNXIT,Nifty IT,IT
CNXAUTO,NSE:CNXAUTO,Nifty Auto,AUTO
CNXPHARMA,NSE:CNXPHARMA,Nifty Pharma,PHARMA
CNXFMCG,NSE:CNXFMCG,Nifty FMCG,FMCG
CNXMETAL,NSE:CNXMETAL,Nifty Metal,METALS
CNXENERGY,NSE:CNXENERGY,Nifty Energy,OIL_GAS
CNXREALTY,NSE:CNXREALTY,Nifty Realty,REALTY
CNXINFRA,NSE:CNXINFRA,Nifty Infra,INFRA
CNXDEFENCE,NSE:CNXDEFENCE,Nifty Defence,DEFENCE
MCXICOMDEX,MCX:ICOMDEX1!,MCX iCOMDEX Composite,MCX_COMPOSITE
