symbol,name,sector,sister1,sister2
360ONE,360 ONE WAM LIMITED,AMC_BROKING,ANGELONE,CDSL
ABB,ABB India Limited,CAPITAL_GOODS,SIEMENS,CGPOWER
APLAPOLLO,APL Apollo Tubes Limited,METALS,TATASTEEL,JSWSTEEL
AUBANK,AU Small Finance Bank Limited,BANKS,IDFCFIRSTB,RBLBANK
ADANIENSOL,Adani Energy Solutions Limited,POWER,ADANIGREEN,TATAPOWER
ADANIENT,Adani Enterprises Limited,CONGLOMERATE,RELIANCE,LT
ADANIGREEN,Adani Green Energy Limited,POWER,TATAPOWER,JSWENERGY
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INFRA,GMRAIRPORT,LT
ADANIPOWER,Adani Power Limited,POWER,NTPC,TATAPOWER
ABCAPITAL,Aditya Birla Capital Limited,NBFC,BAJFINANCE,CHOLAFIN
ALKEM,Alkem Laboratories Limited,PHARMA,CIPLA,LUPIN
AMBER,Amber Enterprises India Limited,CAPITAL_GOODS,DIXON,KAYNES
AMBUJACEM,Ambuja Cements Limited,CEMENT,ULTRACEMCO,SHREECEM
ANGELONE,Angel One Limited,AMC_BROKING,BSE,CDSL
APOLLOHOSP,Apollo Hospitals Enterprise Limited,HEALTHCARE,MAXHEALTH,FORTIS
ASHOKLEY,Ashok Leyland Limited,AUTO,TATAMOTORS,EICHERMOT
ASIANPAINT,Asian Paints Limited,CONSUMER,PIDILITIND,BERGER
ASTRAL,Astral Limited,CONSUMER,SUPREMEIND,POLYCAB
AUROPHARMA,Aurobindo Pharma Limited,PHARMA,CIPLA,LUPIN
DMART,Avenue Supermarts Limited,RETAIL,TRENT,NYKAA
AXISBANK,Axis Bank Limited,BANKS,ICICIBANK,HDFCBANK
BSE,BSE Limited,AMC_BROKING,CDSL,ANGELONE
BAJAJ-AUTO,Bajaj Auto Limited,AUTO,HEROMOTOCO,EICHERMOT
BAJFINANCE,Bajaj Finance Limited,NBFC,CHOLAFIN,SHRIRAMFIN
BAJAJFINSV,Bajaj Finserv Limited,NBFC,BAJFINANCE,CHOLAFIN
BAJAJHLDNG,Bajaj Holdings & Investment Limited,CONGLOMERATE,BAJFINANCE,BAJAJ-AUTO
BANDHANBNK,Bandhan Bank Limited,BANKS,IDFCFIRSTB,RBLBANK
BANKBARODA,Bank of Baroda,PSU_BANKS,SBIN,CANBK
BANKINDIA,Bank of India,PSU_BANKS,SBIN,BANKBARODA
